,sust_densidad,adj_densidad,verb_densidad,fv_indicativo,fv_subjuntivo,conj_pero,conj_porque,adv_modo,disc_emocionalidad,foco_voz_activa,plano_auto,plano_ref,canal_visual,canal_kinestesico,tl_conductas,tl_interpretaciones,cre_sustantiva,cre_condicional,lente_salud,lente_sentido,fal_sustantiva,fal_verbal,fal_complejidad,inf_causal,inf_validez,gob_declarada_vs_ejecutada,acd_distancia_id_ir,resp_sujeto_explicito,eval_brecha_como_problema,nodo_rigidez,int_01_logico_matematica,int_08_social,int_12_narrativa,p_03_critico,p_02_sistemico,modo_proceso,modo_relacion,profundidad_estructura,h01_confirmacion,h04_autoridad_implicita,h12_granularidad_falsa,h14_causalidad_narrativa,h22_validacion_social,h25_aversion_perdida,h26_framing,h55_atribucion_autoservicio,h62_difusion_resp_cognitiva,h77_reificacion_categorias
plano_auto,-0.1439,0.0039,0.3303,0.0564,0.0736,0.3725,0.2116,0.3219,0.4393,0.1261,1.0000,-0.8336,0.2229,0.4248,-0.0517,0.1567,0.1842,0.1771,-0.0279,0.2287,0.1060,0.1789,0.1417,0.0789,0.0657,0.2209,0.2518,0.2696,0.1743,-0.2407,-0.1106,0.2899,0.2616,0.2116,-0.0748,0.0026,0.1909,-0.1967,0.2300,0.0936,0.0242,0.2111,0.1260,0.0903,0.1389,0.2418,0.1057,0.0837
plano_ref,0.0563,-0.0176,-0.2172,0.1092,-0.0281,-0.2686,-0.1464,-0.2399,-0.3834,-0.0096,-0.8336,1.0000,-0.1657,-0.3535,0.1082,-0.0859,-0.1124,-0.1189,0.0698,-0.1597,-0.0841,-0.1143,-0.0620,-0.0218,0.0157,-0.1445,-0.1702,-0.1538,-0.1060,0.2228,0.1268,-0.1924,-0.1762,-0.1340,0.1266,0.0567,-0.0838,0.2318,-0.1750,-0.0485,0.0027,-0.1357,-0.0906,-0.0531,-0.0796,-0.1958,-0.0739,-0.0516
canal_visual,-0.1141,0.1618,0.1903,0.0615,0.0309,0.1762,0.0732,0.2399,0.3430,0.1111,0.2229,-0.1657,1.0000,0.3468,0.0215,0.0300,0.1555,0.0592,-0.0589,0.1287,0.0918,0.1254,0.0183,0.0120,-0.0207,0.0818,0.1126,0.0246,0.0496,-0.0881,-0.0806,0.0913,0.1309,0.0764,-0.1081,-0.0294,0.0572,-0.2893,0.1282,0.0783,0.0495,0.1090,0.0727,0.0102,0.1449,0.0128,0.0245,0.1111
canal_kinestesico,-0.1240,0.1762,0.2635,0.0344,0.0787,0.2296,0.1299,0.3228,0.6523,0.0903,0.4248,-0.3535,0.3468,1.0000,0.0061,0.0834,0.2070,0.1446,0.0349,0.2093,0.1431,0.1885,0.1037,0.1098,0.0283,0.1159,0.1591,0.0986,0.1051,-0.1379,-0.1058,0.2068,0.2042,0.0773,-0.0633,0.0363,0.1701,-0.1995,0.2186,0.1292,0.0380,0.1860,0.0558,0.0672,0.1591,0.0576,0.0147,0.1356
tl_conductas,-0.2077,-0.2182,0.2067,0.2143,0.0353,-0.0574,-0.0639,0.0273,-0.0669,0.2257,-0.0517,0.1082,0.0215,0.0061,1.0000,-0.6806,-0.2047,-0.0625,0.1310,-0.3671,-0.2794,-0.1232,-0.2244,-0.1163,-0.0178,-0.0808,-0.1210,0.2395,-0.1068,-0.1322,-0.0446,-0.0672,0.0303,-0.2689,-0.2387,0.1073,-0.1374,-0.0282,-0.1186,-0.2140,0.0279,-0.0793,-0.0821,0.0010,-0.0331,0.0106,-0.0922,-0.2675
tl_interpretaciones,0.0025,0.2236,0.1548,0.1258,0.1687,0.2092,0.1569,0.2040,0.1924,0.1259,0.1567,-0.0859,0.0300,0.0834,-0.6806,1.0000,0.3729,0.1796,-0.0483,0.5830,0.3481,0.2487,0.4207,0.2738,0.2235,0.2059,0.2685,0.0552,0.2469,-0.0416,0.0245,0.2745,0.1710,0.4344,0.3715,0.0904,0.3138,0.0300,0.2114,0.3946,0.0331,0.2528,0.1500,0.0890,0.1996,0.0283,0.1428,0.3776
cre_sustantiva,-0.0982,0.2261,0.3402,0.1077,0.0975,0.2749,0.2219,0.2953,0.2649,0.0915,0.1842,-0.1124,0.1555,0.2070,-0.2047,0.3729,1.0000,0.3301,0.1287,0.4162,0.4574,0.4958,0.4705,0.4502,0.3322,0.4374,0.4736,0.2002,0.4608,0.0778,0.0337,0.3362,0.2320,0.3919,0.2966,0.2148,0.3350,-0.1365,0.4601,0.5604,0.2108,0.4705,0.2025,0.2648,0.4448,0.1451,0.1292,0.5107
cre_condicional,-0.0762,0.0289,0.2585,-0.0703,0.3347,0.2560,0.2650,0.2727,0.1388,0.0436,0.1771,-0.1189,0.0592,0.1446,-0.0625,0.1796,0.3301,1.0000,0.1227,0.3001,0.2913,0.3782,0.4178,0.5801,0.1987,0.3758,0.4021,0.1101,0.4460,-0.0185,0.0366,0.2258,0.0814,0.2899,0.2657,0.2113,0.2411,-0.0597,0.3433,0.3052,0.1320,0.3715,0.1093,0.3221,0.2974,0.0958,0.1435,0.2731
lente_salud,0.0588,0.1258,0.0476,0.0501,0.0428,0.0080,0.0595,0.0895,-0.1463,-0.0478,-0.0279,0.0698,-0.0589,0.0349,0.1310,-0.0483,0.1287,0.1227,1.0000,-0.0669,0.0461,0.0887,0.1862,0.2050,0.2087,0.0913,0.0779,-0.1394,0.1510,-0.0060,0.2524,-0.1541,-0.2369,0.0288,0.3998,0.4606,0.1038,0.1249,0.0515,0.1409,0.0910,0.0564,-0.0179,0.1404,0.1163,0.0431,0.0261,0.0830
lente_sentido,-0.0264,0.1407,0.2441,0.0557,0.2019,0.2356,0.1890,0.2328,0.3198,0.1327,0.2287,-0.1597,0.1287,0.2093,-0.3671,0.5830,0.4162,0.3001,-0.0669,1.0000,0.3924,0.3451,0.4390,0.3192,0.2116,0.3503,0.4092,0.1856,0.3480,-0.0892,-0.1197,0.5214,0.3229,0.4466,0.3187,0.1760,0.4642,-0.0916,0.3607,0.3919,0.0449,0.3541,0.1951,0.1459,0.3337,0.0617,0.1301,0.4350
fal_sustantiva,0.1707,0.1877,0.1215,-0.0300,0.1042,0.1238,0.1472,0.1457,0.2171,-0.0233,0.1060,-0.0841,0.0918,0.1431,-0.2794,0.3481,0.4574,0.2913,0.0461,0.3924,1.0000,0.6605,0.5441,0.3504,0.0549,0.4198,0.5327,-0.0037,0.4076,0.1630,-0.0036,0.2556,0.0874,0.2820,0.2809,0.1673,0.2761,-0.2485,0.4701,0.5000,0.2061,0.3667,0.1679,0.2256,0.3638,0.1374,0.1787,0.6623
fal_verbal,-0.0377,0.1350,0.2888,0.0581,0.1115,0.2623,0.1849,0.2420,0.2684,0.0200,0.1789,-0.1143,0.1254,0.1885,-0.1232,0.2487,0.4958,0.3782,0.0887,0.3451,0.6605,1.0000,0.5612,0.4695,0.1189,0.6446,0.7235,0.1231,0.6111,0.0985,0.0093,0.3310,0.2228,0.4278,0.2580,0.2228,0.3216,-0.2357,0.5577,0.4976,0.2636,0.5021,0.1649,0.3678,0.4425,0.2362,0.2249,0.5269
fal_complejidad,0.0532,0.1543,0.2931,0.0487,0.2708,0.2901,0.2677,0.2600,0.1156,-0.0145,0.1417,-0.0620,0.0183,0.1037,-0.2244,0.4207,0.4705,0.4178,0.1862,0.4390,0.5441,0.5612,1.0000,0.5515,0.3731,0.5434,0.5924,0.1576,0.5373,0.0113,0.1068,0.3470,0.2161,0.5179,0.5413,0.4137,0.4346,-0.0337,0.3754,0.5345,0.2068,0.5664,0.1675,0.2999,0.4427,0.1543,0.2049,0.5625
inf_causal,-0.0290,0.1024,0.2914,0.0396,0.1920,0.2581,0.3944,0.2386,0.1091,0.0238,0.0789,-0.0218,0.0120,0.1098,-0.1163,0.2738,0.4502,0.5801,0.2050,0.3192,0.3504,0.4695,0.5515,1.0000,0.3953,0.4361,0.4473,0.1607,0.5606,0.0301,0.1530,0.2425,0.2035,0.4104,0.4622,0.3459,0.3228,0.0447,0.3893,0.3812,0.1879,0.5864,0.0871,0.3862,0.3585,0.0935,0.1633,0.3763
inf_validez,-0.0974,0.0949,0.3480,0.1581,0.1257,0.2587,0.2366,0.2565,-0.0063,0.0795,0.0657,0.0157,-0.0207,0.0283,-0.0178,0.2235,0.3322,0.1987,0.2087,0.2116,0.0549,0.1189,0.3731,0.3953,1.0000,0.2005,0.1861,0.3323,0.2351,-0.1519,0.1315,0.2198,0.2919,0.2782,0.3829,0.4024,0.3062,0.1852,0.0569,0.2476,0.0686,0.3940,0.0749,0.1378,0.2419,0.0066,0.0426,0.2155
gob_declarada_vs_ejecutada,-0.0767,0.0728,0.3265,0.0516,0.1265,0.3423,0.2365,0.2498,0.2055,0.0176,0.2209,-0.1445,0.0818,0.1159,-0.0808,0.2059,0.4374,0.3758,0.0913,0.3503,0.4198,0.6446,0.5434,0.4361,0.2005,1.0000,0.8810,0.2333,0.7032,0.0130,0.0122,0.4350,0.2859,0.5719,0.2990,0.2403,0.3534,-0.1550,0.4855,0.4449,0.2677,0.5295,0.1902,0.4285,0.4824,0.2962,0.2485,0.4449
acd_distancia_id_ir,-0.0695,0.0885,0.3264,0.0486,0.1579,0.3574,0.2269,0.2680,0.2568,0.0375,0.2518,-0.1702,0.1126,0.1591,-0.1210,0.2685,0.4736,0.4021,0.0779,0.4092,0.5327,0.7235,0.5924,0.4473,0.1861,0.8810,1.0000,0.1929,0.7285,0.0227,-0.0111,0.4398,0.2693,0.5690,0.2904,0.2248,0.3752,-0.2011,0.5223,0.4977,0.2812,0.5338,0.1904,0.4300,0.5109,0.2595,0.2654,0.5024
resp_sujeto_explicito,-0.2774,-0.1350,0.5453,0.2516,0.1066,0.3039,0.1326,0.2393,0.2045,0.3331,0.2696,-0.1538,0.0246,0.0986,0.2395,0.0552,0.2002,0.1101,-0.1394,0.1856,-0.0037,0.1231,0.1576,0.1607,0.3323,0.2333,0.1929,1.0000,0.1975,-0.3559,-0.1788,0.4229,0.5417,0.2193,-0.0720,0.0949,0.2194,0.0072,0.0942,0.1148,0.0739,0.3455,0.0753,0.1104,0.2088,0.1103,0.0549,0.0866
eval_brecha_como_problema,-0.0824,0.0496,0.3216,0.0302,0.1805,0.3475,0.2243,0.2452,0.1990,0.0080,0.1743,-0.1060,0.0496,0.1051,-0.1068,0.2469,0.4608,0.4460,0.1510,0.3480,0.4076,0.6111,0.5373,0.5606,0.2351,0.7032,0.7285,0.1975,1.0000,0.0038,0.0271,0.3874,0.2413,0.6596,0.3084,0.2341,0.3286,-0.0870,0.4427,0.4396,0.2714,0.5680,0.1598,0.5828,0.4997,0.1799,0.2336,0.4231
nodo_rigidez,0.1972,0.0752,-0.2896,-0.1072,-0.1321,-0.2133,-0.0706,-0.2298,-0.1598,-0.2205,-0.2407,0.2228,-0.0881,-0.1379,-0.1322,-0.0416,0.0778,-0.0185,-0.0060,-0.0892,0.1630,0.0985,0.0113,0.0301,-0.1519,0.0130,0.0227,-0.3559,0.0038,1.0000,0.1661,-0.2475,-0.2199,-0.0890,0.0703,-0.0983,-0.1011,0.0856,0.0800,0.0225,-0.0104,-0.0892,-0.0362,0.0202,-0.0936,0.0047,0.0210,0.1143
int_01_logico_matematica,0.0668,0.0804,-0.0684,0.0475,-0.0719,-0.0237,0.0728,-0.0212,-0.1706,-0.1154,-0.1106,0.1268,-0.0806,-0.1058,-0.0446,0.0245,0.0337,0.0366,0.2524,-0.1197,-0.0036,0.0093,0.1068,0.1530,0.1315,0.0122,-0.0111,-0.1788,0.0271,0.1661,1.0000,-0.2232,-0.1902,0.0227,0.3370,0.1939,0.0509,0.2446,-0.0334,-0.0083,0.0769,-0.0117,-0.0340,0.0463,-0.0195,-0.0152,0.0491,-0.0035
int_08_social,-0.1503,0.0071,0.3491,0.0991,0.1629,0.2721,0.1792,0.2513,0.3854,0.1650,0.2899,-0.1924,0.0913,0.2068,-0.0672,0.2745,0.3362,0.2258,-0.1541,0.5214,0.2556,0.3310,0.3470,0.2425,0.2198,0.4350,0.4398,0.4229,0.3874,-0.2475,-0.2232,1.0000,0.3995,0.3792,0.1786,0.0983,0.6268,-0.1828,0.3104,0.2978,0.0934,0.4100,0.2850,0.1815,0.4013,0.1370,0.1104,0.3457
int_12_narrativa,-0.1514,-0.0399,0.4487,0.1479,0.0673,0.3625,0.1404,0.2455,0.3143,0.1240,0.2616,-0.1762,0.1309,0.2042,0.0303,0.1710,0.2320,0.0814,-0.2369,0.3229,0.0874,0.2228,0.2161,0.2035,0.2919,0.2859,0.2693,0.5417,0.2413,-0.2199,-0.1902,0.3995,1.0000,0.2953,-0.0517,0.0594,0.2305,-0.0852,0.1845,0.1289,0.0625,0.4950,0.0850,0.0776,0.2138,0.0946,0.0415,0.1672
p_03_critico,-0.0622,0.1241,0.2859,0.0475,0.1536,0.4033,0.2394,0.3003,0.2013,0.0467,0.2116,-0.1340,0.0764,0.0773,-0.2689,0.4344,0.3919,0.2899,0.0288,0.4466,0.2820,0.4278,0.5179,0.4104,0.2782,0.5719,0.5690,0.2193,0.6596,-0.0890,0.0227,0.3792,0.2953,1.0000,0.3233,0.1664,0.3291,-0.0111,0.2946,0.4128,0.1652,0.4640,0.1872,0.3160,0.3932,0.1230,0.1782,0.3588
p_02_sistemico,0.1904,0.1559,0.0628,0.0340,0.1575,0.0558,0.1148,0.0817,-0.1353,-0.0845,-0.0748,0.1266,-0.1081,-0.0633,-0.2387,0.3715,0.2966,0.2657,0.3998,0.3187,0.2809,0.2580,0.5413,0.4622,0.3829,0.2990,0.2904,-0.0720,0.3084,0.0703,0.3370,0.1786,-0.0517,0.3233,1.0000,0.5576,0.4575,0.2534,0.1699,0.2830,0.0718,0.2603,0.0662,0.1700,0.1920,0.0207,0.1186,0.3758
modo_proceso,0.0634,0.0574,0.2685,0.0759,0.1798,0.1235,0.0908,0.1906,-0.0895,-0.0161,0.0026,0.0567,-0.0294,0.0363,0.1073,0.0904,0.2148,0.2113,0.4606,0.1760,0.1673,0.2228,0.4137,0.3459,0.4024,0.2403,0.2248,0.0949,0.2341,-0.0983,0.1939,0.0983,0.0594,0.1664,0.5576,1.0000,0.1988,0.1159,0.1290,0.2138,0.0988,0.2796,0.0102,0.1524,0.1908,0.0416,0.0697,0.2516
modo_relacion,-0.0049,0.0781,0.2547,0.1182,0.1202,0.2479,0.2058,0.2192,0.2449,0.0622,0.1909,-0.0838,0.0572,0.1701,-0.1374,0.3138,0.3350,0.2411,0.1038,0.4642,0.2761,0.3216,0.4346,0.3228,0.3062,0.3534,0.3752,0.2194,0.3286,-0.1011,0.0509,0.6268,0.2305,0.3291,0.4575,0.1988,1.0000,-0.0252,0.2719,0.2780,0.1115,0.3648,0.1898,0.1519,0.2966,0.1071,0.1313,0.3462
profundidad_estructura,0.1722,-0.1097,-0.1193,0.0685,-0.0626,-0.1131,-0.0484,-0.1878,-0.3082,-0.0756,-0.1967,0.2318,-0.2893,-0.1995,-0.0282,0.0300,-0.1365,-0.0597,0.1249,-0.0916,-0.2485,-0.2357,-0.0337,0.0447,0.1852,-0.1550,-0.2011,0.0072,-0.0870,0.0856,0.2446,-0.1828,-0.0852,-0.0111,0.2534,0.1159,-0.0252,1.0000,-0.2059,-0.2054,-0.1452,-0.1219,-0.1598,-0.0773,-0.2670,-0.1184,-0.0557,-0.1539
h01_confirmacion,-0.0487,0.1118,0.2494,0.0315,0.0869,0.2174,0.2238,0.2217,0.2804,0.0404,0.2300,-0.1750,0.1282,0.2186,-0.1186,0.2114,0.4601,0.3433,0.0515,0.3607,0.4701,0.5577,0.3754,0.3893,0.0569,0.4855,0.5223,0.0942,0.4427,0.0800,-0.0334,0.3104,0.1845,0.2946,0.1699,0.1290,0.2719,-0.2059,1.0000,0.3747,0.1977,0.4133,0.2067,0.2884,0.3704,0.2631,0.1323,0.4216
h04_autoridad_implicita,-0.0691,0.2523,0.2712,0.0919,0.1518,0.2188,0.2168,0.2514,0.2079,0.1078,0.0936,-0.0485,0.0783,0.1292,-0.2140,0.3946,0.5604,0.3052,0.1409,0.3919,0.5000,0.4976,0.5345,0.3812,0.2476,0.4449,0.4977,0.1148,0.4396,0.0225,-0.0083,0.2978,0.1289,0.4128,0.2830,0.2138,0.2780,-0.2054,0.3747,1.0000,0.2644,0.4499,0.2231,0.3234,0.5812,0.1456,0.1340,0.5537
h12_granularidad_falsa,-0.0570,0.0655,0.1302,0.0400,0.0275,0.1272,0.0949,0.1106,0.0753,0.0162,0.0242,0.0027,0.0495,0.0380,0.0279,0.0331,0.2108,0.1320,0.0910,0.0449,0.2061,0.2636,0.2068,0.1879,0.0686,0.2677,0.2812,0.0739,0.2714,-0.0104,0.0769,0.0934,0.0625,0.1652,0.0718,0.0988,0.1115,-0.1452,0.1977,0.2644,1.0000,0.1738,0.0503,0.2124,0.2358,0.1166,0.0351,0.2233
h14_causalidad_narrativa,-0.1144,0.0753,0.4333,0.0824,0.1347,0.3960,0.3132,0.3040,0.2379,0.0545,0.2111,-0.1357,0.1090,0.1860,-0.0793,0.2528,0.4705,0.3715,0.0564,0.3541,0.3667,0.5021,0.5664,0.5864,0.3940,0.5295,0.5338,0.3455,0.5680,-0.0892,-0.0117,0.4100,0.4950,0.4640,0.2603,0.2796,0.3648,-0.1219,0.4133,0.4499,0.1738,1.0000,0.1475,0.3584,0.5092,0.1594,0.1563,0.4469
h22_validacion_social,-0.0829,0.0672,0.1262,0.0361,0.0657,0.0972,0.0854,0.1187,0.1444,0.0429,0.1260,-0.0906,0.0727,0.0558,-0.0821,0.1500,0.2025,0.1093,-0.0179,0.1951,0.1679,0.1649,0.1675,0.0871,0.0749,0.1902,0.1904,0.0753,0.1598,-0.0362,-0.0340,0.2850,0.0850,0.1872,0.0662,0.0102,0.1898,-0.1598,0.2067,0.2231,0.0503,0.1475,1.0000,0.0560,0.2457,0.0912,0.2080,0.1726
h25_aversion_perdida,-0.0724,0.0562,0.2201,0.0139,0.1106,0.1967,0.1552,0.1521,0.1255,0.0143,0.0903,-0.0531,0.0102,0.0672,0.0010,0.0890,0.2648,0.3221,0.1404,0.1459,0.2256,0.3678,0.2999,0.3862,0.1378,0.4285,0.4300,0.1104,0.5828,0.0202,0.0463,0.1815,0.0776,0.3160,0.1700,0.1524,0.1519,-0.0773,0.2884,0.3234,0.2124,0.3584,0.0560,1.0000,0.4460,0.1028,0.1135,0.2338
h26_framing,-0.1431,0.2010,0.3301,0.0705,0.1564,0.2393,0.1939,0.2736,0.2556,0.0997,0.1389,-0.0796,0.1449,0.1591,-0.0331,0.1996,0.4448,0.2974,0.1163,0.3337,0.3638,0.4425,0.4427,0.3585,0.2419,0.4824,0.5109,0.2088,0.4997,-0.0936,-0.0195,0.4013,0.2138,0.3932,0.1920,0.1908,0.2966,-0.2670,0.3704,0.5812,0.2358,0.5092,0.2457,0.4460,1.0000,0.1638,0.0723,0.4322
h55_atribucion_autoservicio,-0.0338,-0.0070,0.1153,0.0267,0.0198,0.0921,0.0911,0.0819,0.1099,0.0235,0.2418,-0.1958,0.0128,0.0576,0.0106,0.0283,0.1451,0.0958,0.0431,0.0617,0.1374,0.2362,0.1543,0.0935,0.0066,0.2962,0.2595,0.1103,0.1799,0.0047,-0.0152,0.1370,0.0946,0.1230,0.0207,0.0416,0.1071,-0.1184,0.2631,0.1456,0.1166,0.1594,0.0912,0.1028,0.1638,1.0000,0.0145,0.1174
h62_difusion_resp_cognitiva,-0.0245,-0.0204,0.1007,0.0170,0.0609,0.1326,0.1039,0.0774,0.0414,-0.0046,0.1057,-0.0739,0.0245,0.0147,-0.0922,0.1428,0.1292,0.1435,0.0261,0.1301,0.1787,0.2249,0.2049,0.1633,0.0426,0.2485,0.2654,0.0549,0.2336,0.0210,0.0491,0.1104,0.0415,0.1782,0.1186,0.0697,0.1313,-0.0557,0.1323,0.1340,0.0351,0.1563,0.2080,0.1135,0.0723,0.0145,1.0000,0.0836
h77_reificacion_categorias,0.0608,0.1982,0.2165,0.0258,0.1149,0.1716,0.1810,0.1689,0.1813,0.0159,0.0837,-0.0516,0.1111,0.1356,-0.2675,0.3776,0.5107,0.2731,0.0830,0.4350,0.6623,0.5269,0.5625,0.3763,0.2155,0.4449,0.5024,0.0866,0.4231,0.1143,-0.0035,0.3457,0.1672,0.3588,0.3758,0.2516,0.3462,-0.1539,0.4216,0.5537,0.2233,0.4469,0.1726,0.2338,0.4322,0.1174,0.0836,1.0000
